
	         0	     30000	     30000	     30000	     30000
	     30000	         0	     30000	     30000	     30000
	     30000	     30000	         0	     30000	     30000
	     30000	     30000	     30000	         0	     30000
	     30000	     30000	     30000	     30000	         0

	         0	         1	     30000	         1	         5
	         9	         0	         3	         2	     30000
	     30000	     30000	         0	         4	     30000
	     30000	     30000	         2	         0	         3
	         3	     30000	     30000	     30000	         0

	         0	         1	     30000	         1	         5
	         9	         0	         3	         2	        14
	     30000	     30000	         0	         4	     30000
	     30000	     30000	         2	         0	         3
	         3	         4	     30000	         4	         0

	         0	         1	         4	         1	         5
	         9	         0	         3	         2	        14
	     30000	     30000	         0	         4	     30000
	     30000	     30000	         2	         0	         3
	         3	         4	         7	         4	         0

	         0	         1	         4	         1	         5
	         9	         0	         3	         2	        14
	     30000	     30000	         0	         4	     30000
	     30000	     30000	         2	         0	         3
	         3	         4	         7	         4	         0

	         0	         1	         3	         1	         4
	         9	         0	         3	         2	         5
	     30000	     30000	         0	         4	         7
	     30000	     30000	         2	         0	         3
	         3	         4	         6	         4	         0

	         0	         1	         3	         1	         4
	         8	         0	         3	         2	         5
	        10	        11	         0	         4	         7
	         6	         7	         2	         0	         3
	         3	         4	         6	         4	         0

	         0	     30000	     30000	     30000	     30000
	     30000	         0	     30000	     30000	     30000
	     30000	     30000	         0	     30000	     30000
	     30000	     30000	     30000	         0	     30000
	     30000	     30000	     30000	     30000	         0

	         0	         1	     30000	         1	         5
	         9	         0	         3	         2	     30000
	     30000	     30000	         0	         4	     30000
	     30000	     30000	         2	         0	         3
	         3	     30000	     30000	     30000	         0

	         0	         1	     30000	         1	         5
	         9	         0	         3	         2	        14
	     30000	     30000	         0	         4	     30000
	     30000	     30000	         2	         0	         3
	         3	         4	     30000	         4	         0

	         0	         1	         4	         1	         5
	         9	         0	         3	         2	        14
	     30000	     30000	         0	         4	     30000
	     30000	     30000	         2	         0	         3
	         3	         4	         7	         4	         0

	         0	         1	         4	         1	         5
	         9	         0	         3	         2	        14
	     30000	     30000	         0	         4	     30000
	     30000	     30000	         2	         0	         3
	         3	         4	         7	         4	         0

	         0	         1	         3	         1	         4
	         9	         0	         3	         2	         5
	     30000	     30000	         0	         4	         7
	     30000	     30000	         2	         0	         3
	         3	         4	         6	         4	         0

	         0	         1	         3	         1	         4
	         8	         0	         3	         2	         5
	        10	        11	         0	         4	         7
	         6	         7	         2	         0	         3
	         3	         4	         6	         4	         0
